-119.7446,34.5857,02/20/2016,02/27/2016
-119.9176,35.2865,08/23/2013,08/30/2013
-119.0527,34.9361,12/04/2015,12/11/2015
-119.0527,34.5857,11/14/2014,11/21/2014
-110.5768,34.5857,11/23/2015,12/01/2015
-110.4039,34.4104,11/30/2015,12/07/2015
-111.0958,33.8848,11/29/2015,12/06/2015
-111.2688,34.0600,10/20/2015,10/29/2015
-111.2688,33.8848,09/30/2014,10/08/2014
-115.2472,48.4281,02/19/2016,02/26/2016
-111.7877,41.4192,11/26/2014,12/03/2014
-111.0958,33.7096,11/14/2015,11/21/2015
-90.1656,48.0776,11/22/2012,11/29/2012
-109.0201,33.8848,11/06/2015,11/14/2015
-110.9228,34.4104,11/23/2015,11/30/2015
-91.8954,47.9024,09/10/2015,09/17/2015
-109.1930,33.8848,11/18/2015,11/26/2015
-118.1878,35.8122,07/13/2015,07/20/2015
-91.7224,48.0776,10/19/2015,10/26/2015
-105.3875,38.9662,01/02/2016,01/09/2016
-91.7224,47.9024,12/28/2015,01/04/2016
-110.7498,34.5857,01/18/2016,02/22/2016
-91.8954,48.0776,07/18/2015,07/25/2015
-110.9228,34.5857,01/14/2016,01/21/2016
-109.3660,33.7096,09/30/2015,11/10/2015
-109.3660,33.8848,10/06/2015,10/13/2015
-119.2257,38.0901,09/24/2015,02/07/2016
-109.1930,33.7096,11/23/2015,11/30/2015
-118.7068,35.4618,09/12/2014,09/19/2014
-118.7068,35.6370,09/22/2015,09/29/2015
-119.2257,38.7909,10/24/2015,11/01/2015
-119.7446,39.3166,11/03/2015,11/11/2015
-94.4900,47.5520,12/23/2015,12/30/2015
-94.4900,47.7272,08/05/2013,08/12/2013
-119.3987,38.7909,09/21/2015,09/28/2015
-109.8849,34.2352,02/27/2016,03/05/2016
-93.7981,47.3767,11/03/2015,11/10/2015
-109.1930,34.0600,11/05/2015,11/13/2015
-94.1441,47.3767,06/28/2015,07/05/2015
-110.0579,34.4104,11/15/2015,11/23/2015
-109.3660,34.2352,09/22/2015,10/17/2015
-93.6251,47.5520,09/04/2012,09/11/2012
-110.7498,34.4104,01/11/2016,01/18/2016
-93.9711,47.5520,08/18/2015,08/25/2015
-119.9176,39.6670,11/25/2015,12/02/2015
-93.9711,47.7272,07/19/2015,07/26/2015
-110.0579,34.2352,03/13/2016,03/20/2016
-96.0468,33.8848,07/21/2011,07/29/2011
-94.1441,31.4317,11/22/2015,11/29/2015
-97.4306,33.3591,01/17/2015,01/24/2015
-95.0089,31.4317,01/09/2016,01/19/2016
-111.0958,43.6971,12/05/2015,12/12/2015
-93.4521,31.2565,11/18/2015,11/25/2015
-109.3660,34.0600,11/06/2015,11/14/2015
-95.0089,31.6069,01/01/2016,01/11/2016
-97.6036,33.3591,03/29/2015,04/05/2015
-110.9228,43.8723,12/09/2013,01/01/2014
-105.7335,35.8122,11/07/2015,11/15/2015
-105.3875,35.8122,11/20/2015,11/28/2015
-105.5605,35.6370,11/03/2015,11/10/2015
-109.7120,34.2352,11/22/2015,11/30/2015
-110.4039,34.5857,07/09/2014,07/17/2014
-112.4796,42.9962,09/16/2015,09/23/2015
-110.9228,43.3467,11/15/2015,11/22/2015
-109.1930,34.2352,08/13/2015,08/20/2015
-111.2688,35.4618,11/23/2015,11/30/2015
-105.2146,39.4918,07/21/2015,07/30/2015
-110.0579,32.8335,09/07/2012,09/15/2012
-111.4417,35.4618,12/12/2015,12/19/2015
-109.8849,32.8335,11/16/2015,11/23/2015
-108.8471,33.3591,09/23/2013,09/30/2013
-105.0416,39.4918,01/08/2016,01/15/2016
-122.1663,45.2741,05/16/2015,05/23/2015
-108.3281,33.3591,09/28/2013,10/06/2013
-108.8471,33.7096,02/03/2015,02/10/2015
-92.7602,34.9361,03/02/2016,03/09/2016
-121.1284,42.6458,10/27/2015,11/03/2015
-108.8471,33.1839,09/08/2015,10/16/2015
-102.7929,43.6971,10/21/2015,10/28/2015
-108.6741,33.3591,08/13/2014,10/20/2014
-111.0958,35.6370,08/19/2005,08/26/2005
-111.2688,35.6370,09/26/2013,10/08/2013
-111.7877,35.6370,11/04/2015,11/14/2015
-108.8471,33.0087,11/08/2015,12/14/2015
-117.8419,34.4104,12/02/2015,12/09/2015
-111.2688,35.2865,02/20/2015,02/27/2015
-111.6147,35.4618,11/21/2015,11/28/2015
-117.4959,34.2352,11/04/2014,11/11/2014
-111.6147,35.2865,12/19/2015,12/26/2015
-120.7825,38.9662,01/07/2016,01/14/2016
-108.5011,33.3591,09/09/2015,09/25/2015
