PostalCode,Town,Region,ShortCode,Area,Latitude,Longitude
1119,Fairbanks,Alaska,AK,Fairbanks North Star,64.8378,-147.7164
1128,Eielson Afb,Alaska,AK,Fairbanks North Star,64.6735,-147.0805
1129,Fort Wainwright,Alaska,AK,Fairbanks North Star,64.8283,-147.6557
1138,North Pole,Alaska,AK,Fairbanks North Star,64.7805,-147.3694
1139,Fairbanks,Alaska,AK,Fairbanks North Star,64.8521,-147.9377
1144,Fairbanks,Alaska,AK,Fairbanks North Star,64.8378,-147.7164
1151,Fairbanks,Alaska,AK,Fairbanks North Star,64.9475,-147.8564
1152,Fairbanks,Alaska,AK,Fairbanks North Star,64.8544,-147.8469
1199,Fairbanks,Alaska,AK,Fairbanks North Star,64.8378,-147.7164
1201,Fairbanks,Alaska,AK,Fairbanks North Star,64.8378,-147.7164
1202,Fairbanks,Alaska,AK,Fairbanks North Star,64.9109,-147.5105
1203,Salcha,Alaska,AK,Fairbanks North Star,64.5091,-146.953
1220,Two Rivers,Alaska,AK,Fairbanks North Star,64.8746,-146.8982
1222,Ester,Alaska,AK,Fairbanks North Star,64.871,-148.0949
1223,Fairbanks,Alaska,AK,Fairbanks North Star,64.8591,-147.8267
1224,Fairbanks,Alaska,AK,Fairbanks North Star,64.8378,-147.7164
1225,Haines,Alaska,AK,Haines,59.2519,-135.542
1226,Juneau,Alaska,AK,Juneau City and Borough,58.3628,-134.5294
1227,Juneau,Alaska,AK,Juneau City and Borough,58.3019,-134.4197
1229,Juneau,Alaska,AK,Juneau City and Borough,58.3019,-134.4197
1230,Juneau,Alaska,AK,Juneau City and Borough,58.3019,-134.4197
1235,Juneau,Alaska,AK,Juneau City and Borough,58.3271,-134.4742
1236,Auke Bay,Alaska,AK,Juneau City and Borough,58.4494,-134.7003
1237,Douglas,Alaska,AK,Juneau City and Borough,58.2756,-134.395
1238,Juneau,Alaska,AK,Juneau City and Borough,58.3019,-134.4197
1240,Anchor Point,Alaska,AK,Kenai Peninsula,59.8371,-151.7078
1242,Clam Gulch,Alaska,AK,Kenai Peninsula,60.2311,-151.3936
1243,Cooper Landing,Alaska,AK,Kenai Peninsula,60.4767,-149.8235
1244,Homer,Alaska,AK,Kenai Peninsula,59.5374,-151.2356
1245,Hope,Alaska,AK,Kenai Peninsula,60.8726,-149.4683
1247,Kasilof,Alaska,AK,Kenai Peninsula,60.3164,-151.2896
1252,Kenai,Alaska,AK,Kenai Peninsula,60.6145,-151.2546
1253,Moose Pass,Alaska,AK,Kenai Peninsula,60.6148,-149.4056
1254,Nikiski,Alaska,AK,Kenai Peninsula,60.7007,-151.2766
1255,Ninilchik,Alaska,AK,Kenai Peninsula,60.0108,-151.6396
1256,Seldovia,Alaska,AK,Kenai Peninsula,59.4495,-151.7009
1257,Seward,Alaska,AK,Kenai Peninsula,60.1329,-149.3985
1258,Soldotna,Alaska,AK,Kenai Peninsula,60.4818,-151.1358
1259,Sterling,Alaska,AK,Kenai Peninsula,60.5136,-150.8532
1260,Tyonek,Alaska,AK,Kenai Peninsula,61.0681,-151.1369
1262,Ketchikan,Alaska,AK,Ketchikan Gateway,55.372,-131.6832
1263,Ward Cove,Alaska,AK,Ketchikan Gateway,55.3954,-131.6754
1264,Ketchikan,Alaska,AK,Ketchikan Gateway,55.3422,-131.6478
1266,Port Lions,Alaska,AK,Kodiak Island,57.8675,-152.8822
1267,Karluk,Alaska,AK,Kodiak Island,57.5689,-154.4551
1270,Kodiak,Alaska,AK,Kodiak Island,57.6036,-153.3751
1301,Kodiak,Alaska,AK,Kodiak Island,57.79,-152.4072
1302,Larsen Bay,Alaska,AK,Kodiak Island,57.54,-153.9786
1330,Old Harbor,Alaska,AK,Kodiak Island,57.2028,-153.3039
1331,Ouzinkie,Alaska,AK,Kodiak Island,57.9236,-152.5022
1337,Kodiak,Alaska,AK,Kodiak Island,57.79,-152.4072
1338,Alakanuk,Alaska,AK,Kusilvak,62.6944,-164.6475
1339,Chevak,Alaska,AK,Kusilvak,61.529,-165.5905
1340,Emmonak,Alaska,AK,Kusilvak,62.7818,-164.5335
1341,Marshall,Alaska,AK,Kusilvak,61.9287,-162.268
1342,Hooper Bay,Alaska,AK,Kusilvak,61.527,-166.1151
1343,Kotlik,Alaska,AK,Kusilvak,63.0295,-163.5542
1344,Mountain Village,Alaska,AK,Kusilvak,62.1123,-163.6644
1346,Pilot Station,Alaska,AK,Kusilvak,61.9462,-162.8747
